process,pnl,2023-09-29T11:59:32.904423
process,pnl,2023-09-29T11:59:44.228462
process,pnl,2023-09-29T12:01:10.711483
process,pnl,2023-09-29T12:01:40.429597
process,pnl,2023-09-29T12:02:14.068673
process,pnl,2023-09-29T12:02:28.512650
process,pnl,2023-09-29T12:03:01.017580
process,pnl,2023-09-29T12:03:34.616739
process,pnl,2023-09-29T12:07:28.100118
process,pnl,2023-09-29T12:08:10.011694
2023-09-29T12:08:35.712152
2023-09-29T12:08:35.712152,2023-09-29T12:09:26.314531
process,pnl,2023-09-29T12:09:46.496768
process,pnl,2023-09-29T15:13:18.037301
2023-09-29T15:13:45.149520
2023-09-29T15:13:45.149520,2023-09-29T15:14:15.534938
